Country Name,admin,"Employers, male (% of employment)","Employers, female (% of employment)","Employers, total (% of employment)",GDP growth (annual %),Labor force with primary education (% of total)
Finland,FIN,6.0999999046,1.7999999523,4,-0.114098647,14.6000003815
France,FRA,6.1999998093,2.2000000477,4.3000001907,0.1795630415,22.7999992371
French Polynesia,PYF, , , ,4.0000003434,22.7000007629
Gabon,GAB,1.3999999762,0.8000000119,1.1000000238,4.3000019388, 
"Gambia, The",GMB, , , ,-0.200997693, 
Georgia,GEO,2,0.5,1.2999999523,4.7664424351,8
Germany,DEU,6.5999999046,2.5,4.6999998093,1.6043810064,14
Ghana,GHA,5.5999999046,4.1999998093,4.9000000954,4.1783092653,21.2999992371
Greece,GRC,8.3000001907,4.3000001907,6.6999998093,0.7742096092,29.7000007629
Greenland,GRL, , , ,-5.4119862937, 
Grenada,GRD,6.5999999046,4.0999999046,5.5999999046,1.5135699374, 
Guam,GUM, , ,1.7999999523, , 
Guatemala,GTM,5.5,2.5,4.4000000954,4.2415840334,47.5999984741
Guinea,GIN, , , ,-0.3000102324,27.5
Guinea-Bissau,GNB, , , ,2.5402862957, 
Guyana,GUY, , , ,3.8284068735,41.5
Haiti,HTI, , , ,2.7498501898, 
Honduras,HND,2.7000000477,1.8999999762,2.4000000954,3.4831580375,50.5999984741
"Hong Kong SAR, China",HKG,5.0999999046,1.3999999762,3.2999999523,2.5012390936,25.5
Hungary,HUN,6.8000001907,3.2000000477,5.0999999046,3.6354497484,12.8000001907
Iceland,ISL,5.8000001907,2.2999999523,4.0999999046,1.8714354841,32.9000015259
India,IND,1.2999999523,0.400000006,1.1000000238,7.4167100257,14.3999996185
Indonesia,IDN,25.2999992371,12.6999998093,20.6000003815,5.0246649574,53.5
"Iran, Islamic Rep.",IRN,5.6999998093,0.8999999762,4.9000000954,1.4586993127,54.2999992371
Iraq,IRQ, , , ,-6.4291019064, 
Ireland,IRL,6.5,2.5,4.5999999046,4.7925335183,19.2000007629
Isle of Man,IMY,6.0999999046,2.4000000954,4.5,7.5, 
Israel,ISR,6.8000001907,1.7000000477,4.5,2.7667319656,12.6999998093
Italy,ITA,8.8000001907,4.0999999046,6.9000000954,-0.4260967666,35.4000015259
Jamaica,JAM,3.7999999523,2.2999999523,3.2000000477,1.2748580215, 
Japan,JPN,3.5999999046,1,2.5,-0.1044788898,58.5999984741
Jordan,JOR,7.0999999046,1.6000000238,6.1999998093,3.0963302752,48.2000007629
Kazakhstan,KAZ,2.5,1.1000000238,1.8999999762,4.2999999999,6
Kenya,KEN, , , ,5.3280577856, 
Kiribati,KIR, , , ,3.0303030303, 
"Korea, Dem. Rep.",PRK, , , , , 
"Korea, Rep.",KOR,8.6000003815,3.5,6.5,3.3101475653,23
Kosovo,KSV,10.1000003815,2.0999999046,8.5,2.5005435964,20.7999992371
Kuwait,KWT,1.1000000238,0.8000000119,1,1.4790351487,28.8999996185
Kyrgyz Republic,KGZ,1.5,0.6000000238,1.1000000238,3.6030361441,23.7000007629
Lao PDR,LAO,0.400000006,0.200000003,0.3000000119,7.4580202108, 
Latvia,LVA,5.5,2.9000000954,4.1999998093,2.3616332574,10.1999998093
Lebanon,LBN,12.1000003815,1.7000000477,9.5,2,46.4000015259
Lesotho,LSO,0.6999999881,0.8000000119,0.8000000119,1.9834193248, 
Liberia,LBR,2.2999999523,1.7999999523,2,0.5, 
Libya,LBY, , , ,-24.0309591702, 
Liechtenstein,LIE, , , ,-1.1574818224, 
Lithuania,LTU,3.2000000477,1.2000000477,2.2000000477,2.9498728774,5.1999998093
Luxembourg,LUX,3.4000000954,1.7999999523,2.7000000477,1.9902060373,19.7000007629
"Macao SAR, China",MAC,4.5999999046,1.5,3.2000000477,-0.3529526902,47.0999984741
"Macedonia, FYR",MKD,5.5999999046,3.2999999523,4.6999998093,3.7675580595,24.6000003815
Madagascar,MDG,3.2000000477,1,2.2000000477,2.9731851136,56
Malawi,MWI, , , ,5.7000000018, 
Malaysia,MYS,5.3000001907,1.7000000477,4,6.0329053713,16.7999992371
